Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,CMP / BV,EPS 12M Rs.,ROE %,Debt / Eq,Ind PE,PEG,Date
Britannia Inds.,5224.50,58.94,125909.78,1.38,536.61,-3.76,4069.36,1.15,48.92,31.93,88.84,57.15,0.52,58.94,4.50,2024-05-08
Bharti Airtel,1287.00,67.20,766299.39,0.31,2876.40,34.27,37899.50,5.85,12.30,9.34,15.01,12.05,2.81,45.74,1.41,2024-05-08
B P C L,620.30,4.42,134614.43,3.39,3181.42,76.61,115499.14,-3.08,6.86,1.90,133.41,6.34,0.79,8.15,-0.25,2024-05-08
Bajaj Finserv,1603.05,31.40,255875.73,0.06,4084.93,19.76,32040.84,35.62,11.65,4.24,51.07,15.27,4.79,20.36,1.54,2024-05-08
Bajaj Finance,6799.45,29.12,420886.52,0.53,3824.53,21.11,14926.21,31.35,11.87,5.49,233.46,22.05,3.82,20.36,0.99,2024-05-08
Bajaj Auto,8747.40,31.68,244190.00,0.91,2011.43,17.99,11554.95,29.41,33.47,8.43,276.10,26.43,0.07,150.30,2.98,2024-05-08
Axis Bank,1128.85,13.21,348603.17,0.09,7630.07,53.87,30230.58,22.74,7.53,2.68,85.49,20.33,8.88,11.60,0.34,2024-05-08
Asian Paints,2844.25,50.04,272955.70,0.90,1475.16,34.96,9103.09,5.40,34.37,16.48,56.69,27.74,0.14,46.04,3.30,2024-05-08
Apollo Hospitals,5860.00,106.94,84279.23,0.26,254.40,59.80,4850.60,13.77,14.50,12.95,54.89,13.71,0.75,40.06,1.59,2024-05-08
Adani Ports,1276.85,32.83,275913.76,0.47,2014.77,2.53,6896.50,18.97,12.92,5.21,37.55,17.09,0.93,32.83,2.08,2024-05-08
Adani Enterp.,2860.55,88.05,326166.28,0.05,352.25,-41.62,29180.02,0.82,10.17,8.35,28.43,10.27,1.67,36.62,1.99,2024-05-08
TCS,3976.95,30.88,1439148.50,1.38,12502.00,9.15,61237.00,3.51,64.28,15.90,126.88,51.51,0.09,30.21,3.76,2024-05-08
Sun Pharma.Inds.,1494.65,38.29,358616.59,0.76,2560.54,19.23,12380.70,10.14,16.44,5.96,37.12,16.55,0.03,35.62,1.45,2024-05-09
O N G C,265.25,7.27,333691.91,4.19,10748.46,-9.91,165569.06,-2.15,13.92,1.11,33.34,14.13,0.46,16.23,0.62,2024-05-09
Wipro,455.90,21.64,238307.55,0.22,2858.20,-7.80,22208.30,-4.23,17.15,3.24,21.14,14.51,0.22,30.22,5.19,2024-05-09
UltraTech Cem.,9446.10,38.56,272706.39,0.40,2258.58,38.68,20418.94,9.41,15.26,4.57,242.65,12.32,0.19,29.95,1.60,2024-05-09
Titan Company,3245.70,82.48,288148.80,0.31,771.00,5.62,12494.00,20.60,22.70,30.72,39.38,32.91,1.65,24.65,4.08,2024-05-09
Tech Mahindra,1269.10,52.54,123965.94,2.54,664.20,-40.86,12871.30,-6.17,11.89,4.74,24.14,8.64,0.10,30.22,-4.68,2024-05-09
Tata Steel,161.90,104.57,202108.23,2.14,522.14,139.90,55311.88,-3.10,12.63,2.32,-2.74,7.28,1.01,18.14,39.02,2024-05-09
Tata Motors,1030.30,18.84,377696.59,0.20,7145.43,139.98,110577.14,24.96,5.95,6.37,58.40,5.62,2.38,32.38,-0.94,2024-05-09
Tata Consumer,1085.05,75.24,103387.40,0.77,212.26,24.51,3926.94,8.52,10.86,6.44,12.07,8.50,0.22,32.22,2.74,2024-05-09
St Bk of India,819.80,10.60,731639.75,1.37,11598.46,3.87,112868.34,23.33,5.20,2.06,71.48,16.75,13.90,10.11,0.14,2024-05-09
Shriram Finance,2360.90,12.09,88720.90,1.43,2021.28,56.30,9904.30,24.33,11.23,1.85,196.02,15.93,3.99,20.55,0.52,2024-05-09
SBI Life Insuran,1422.40,75.18,142448.45,0.19,810.80,4.37,36255.19,70.25,14.88,9.61,18.91,13.56,0.00,41.87,8.70,2024-05-09
Reliance Industr,2788.25,27.16,1886443.30,0.32,21243.00,-1.34,236533.00,11.13,10.02,2.41,102.90,9.23,0.44,8.16,2.28,2024-05-09
Power Grid Corpn,296.15,17.55,275437.37,3.65,4028.25,10.50,11549.79,2.56,13.09,3.21,16.91,19.56,1.38,28.01,0.68,2024-05-09
Nestle India,2513.45,76.00,242336.04,0.66,934.17,25.79,5267.59,9.05,152.52,72.58,33.15,122.11,0.10,58.95,5.71,2024-05-09
NTPC,346.05,17.26,335553.17,2.03,5208.87,7.93,42820.38,-3.99,9.83,2.26,20.11,12.02,1.45,28.01,1.86,2024-05-09
Maruti Suzuki,12504.65,29.15,393149.43,0.72,3952.30,47.05,38471.20,19.43,23.68,4.56,429.01,18.30,0.00,65.15,1.65,2024-05-09
M & M,2212.55,24.64,275137.00,0.74,2977.04,14.07,35299.39,15.28,12.69,4.54,89.67,18.11,1.65,65.15,2.47,2024-05-09
Larsen & Toubro,3275.45,34.52,450265.91,0.73,5013.17,8.72,67078.68,14.99,13.40,5.16,95.00,14.80,1.35,40.77,4.14,2024-05-09
